soil_moisture_percent,temperature_c,humidity_percent,rainfall_mm,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,wind_speed_m_s,crop_type,crop_yield_ton_per_hectare,ldr_value
85.4,31.8,77.8,1711.4,193.3,59.7,100.6,0.5,Rice,4.55,481
42.2,18.7,52.2,110.3,31.2,56.5,21.2,2.77,Chickpea,1.82,573
64.2,23.2,75.6,885.0,36.6,42.2,72.3,5.83,Soybean,2.3,362
50.9,18.4,51.7,385.7,175.2,54.8,33.1,5.03,Wheat,4.54,957
46.9,25.6,73.5,394.2,32.5,64.8,34.6,3.19,Groundnut,1.55,545
54.1,26.5,48.1,791.3,92.4,42.8,82.1,3.1,Cotton,2.56,659
36.7,25.5,29.4,450.6,72.0,26.2,39.7,3.07,Bajra,1.73,1023
68.5,29.7,87.9,1463.3,195.4,65.6,47.8,1.93,Rice,5.15,324
80.2,33.5,81.6,1777.3,156.5,55.9,73.1,3.44,Rice,5.02,149
75.7,31.8,90.0,1278.1,153.8,51.7,84.0,2.09,Rice,5.66,388
62.1,20.2,59.1,845.0,185.3,48.4,41.8,3.79,Wheat,5.04,368
39.1,27.1,44.3,537.3,82.4,55.0,57.9,2.7,Cotton,2.11,873
54.0,27.0,71.2,1034.1,124.2,37.5,75.1,3.94,Maize,4.99,620
58.2,18.7,66.1,679.0,112.5,36.0,44.6,1.81,Wheat,4.41,429
38.8,28.1,72.3,402.8,67.0,37.6,38.6,6.66,Jowar,2.19,407
65.3,25.7,62.7,911.5,39.8,35.8,39.2,1.03,Soybean,2.22,542
36.0,29.1,52.5,649.4,95.0,35.9,25.0,2.82,Cotton,2.63,628
35.4,26.8,46.1,351.9,49.9,32.4,46.7,1.37,Bajra,1.95,555
73.1,32.4,80.3,2215.9,119.1,66.5,60.8,0.6,Rice,3.64,329
81.9,29.7,75.6,1956.5,177.0,52.3,86.2,4.13,Rice,5.81,0
49.4,29.7,72.4,425.3,153.9,56.9,69.0,2.75,Maize,3.8,434
51.5,24.3,62.7,1104.8,46.3,70.9,62.5,3.52,Soybean,2.06,428
60.6,13.5,64.5,884.0,135.8,37.4,65.8,2.06,Wheat,4.05,462
50.9,30.6,57.2,800.3,68.7,31.1,68.5,4.62,Cotton,2.74,620
74.7,28.7,87.1,1736.0,181.8,43.2,59.4,0.5,Rice,6.84,57
57.7,28.0,62.0,708.5,43.8,51.2,60.6,3.01,Soybean,2.47,637
62.3,23.4,68.1,1054.1,38.7,36.2,59.2,5.37,Soybean,1.97,427
71.7,29.4,51.1,1046.3,229.6,87.9,209.4,4.45,Sugarcane,8.84,487
49.3,17.5,55.8,455.5,34.8,40.0,40.5,2.19,Chickpea,1.8,413
68.3,22.3,75.8,814.2,140.0,45.7,36.2,1.34,Maize,5.31,242
56.9,25.7,62.9,377.3,67.3,58.8,52.4,2.07,Soybean,1.41,637
61.6,18.9,57.8,374.6,119.8,47.9,41.2,4.91,Wheat,3.94,471
77.4,31.6,78.0,950.5,214.0,62.7,109.1,1.08,Rice,5.9,402
60.4,27.6,63.8,722.0,34.2,41.5,82.3,4.75,Groundnut,2.33,695
61.3,29.9,68.0,583.4,44.5,46.3,43.1,3.69,Soybean,1.66,675
40.4,16.2,60.2,496.0,33.2,39.2,23.7,2.08,Chickpea,1.52,829
37.6,29.7,34.1,0.0,71.4,28.0,28.1,4.77,Jowar,1.64,766
59.3,21.7,66.4,200.6,111.6,68.0,47.3,3.9,Wheat,4.26,408
39.8,24.9,51.6,316.7,30.1,42.9,34.2,3.69,Chickpea,1.5,830
30.4,21.4,54.3,252.3,67.7,32.0,40.6,4.35,Bajra,1.57,708
25.9,26.9,45.5,357.3,76.6,32.9,53.0,4.59,Jowar,1.86,884
53.9,27.7,60.2,1285.2,20.6,62.4,77.2,3.34,Groundnut,2.01,489
51.4,23.7,68.1,219.0,121.4,53.9,43.9,4.03,Wheat,3.98,746
81.7,30.9,75.5,920.8,214.5,57.0,83.4,3.92,Rice,3.96,546
57.6,22.6,59.8,616.0,170.2,52.0,46.4,5.37,Wheat,4.89,686
71.7,26.7,86.6,1362.6,171.7,50.0,104.2,2.21,Rice,5.96,365
83.3,29.1,71.5,1831.4,219.1,75.5,250.6,1.49,Sugarcane,10.8,398
75.2,20.4,71.9,1176.6,166.1,65.6,98.0,5.87,Rice,3.77,446
71.7,29.1,55.2,863.1,135.2,52.9,54.8,2.62,Maize,4.78,614
78.9,27.7,81.4,1064.6,196.2,38.7,98.5,2.87,Rice,4.79,508
69.8,22.8,78.0,2500.0,204.2,50.7,77.9,5.44,Rice,4.0,149
79.8,23.1,68.7,799.3,129.6,63.4,73.9,5.31,Rice,4.38,751
85.1,28.3,91.5,1670.0,186.1,54.6,104.8,4.28,Rice,5.19,212
74.0,24.7,85.8,2500.0,199.8,89.5,206.5,5.07,Sugarcane,8.3,341
54.6,28.4,47.5,984.1,121.7,22.2,72.6,3.41,Cotton,2.72,609
46.7,19.3,52.5,301.5,21.4,46.9,47.3,4.38,Chickpea,1.7,629
78.2,26.4,68.7,1631.9,173.3,55.3,88.1,0.67,Rice,6.03,694
75.5,28.5,78.8,1353.7,227.7,54.4,105.9,3.4,Rice,6.55,291
62.2,22.4,60.6,159.9,142.0,51.4,33.8,4.91,Wheat,3.2,427
83.9,23.1,91.2,2280.6,130.7,55.1,81.7,7.1,Rice,4.53,69
30.7,30.4,35.0,341.0,59.7,28.9,39.3,2.36,Bajra,2.19,727
63.3,28.0,86.0,904.2,40.1,60.9,48.8,5.7,Soybean,2.13,674
79.1,22.1,78.0,2228.9,103.7,32.3,54.6,0.5,Rice,3.21,285
82.3,25.8,85.7,2018.7,171.2,65.0,93.3,2.99,Rice,5.15,374
68.1,28.4,70.6,907.3,66.5,76.8,30.0,6.0,Soybean,2.27,299
39.0,27.0,57.4,324.3,128.3,44.1,55.3,2.84,Wheat,2.08,684
49.1,21.4,41.9,266.6,86.0,50.5,41.1,4.76,Wheat,3.53,846
53.8,30.6,63.7,729.0,36.6,69.7,64.1,0.56,Groundnut,1.87,810
69.3,33.0,66.3,1090.4,58.3,53.4,43.0,2.24,Soybean,2.04,356
51.3,28.6,45.7,1383.4,96.7,41.7,53.0,3.38,Cotton,2.45,681
65.6,37.3,67.4,1229.1,60.3,44.7,57.1,4.05,Cotton,1.37,485
85.1,24.8,72.5,1373.1,218.8,95.4,196.5,4.14,Sugarcane,8.94,224
49.5,18.9,81.6,789.4,137.4,53.9,42.9,3.02,Wheat,4.79,382
62.0,26.9,55.3,535.0,135.9,42.8,43.7,3.14,Maize,5.97,578
71.7,18.0,61.5,852.2,143.0,61.7,30.8,2.2,Wheat,3.4,171
54.1,25.5,68.8,830.5,44.3,57.2,46.8,4.32,Soybean,2.47,570
44.3,28.4,61.5,975.1,123.1,35.2,84.8,1.07,Cotton,2.67,600
43.8,21.7,46.0,257.1,26.1,63.7,45.6,4.29,Chickpea,1.89,649
41.9,29.4,47.1,439.6,73.9,28.7,48.0,1.71,Bajra,2.15,482
58.7,33.9,69.5,601.9,125.4,43.4,53.6,3.97,Maize,3.76,731
72.6,25.5,70.0,1248.9,220.9,106.8,201.1,1.72,Sugarcane,9.8,457
59.5,28.5,64.4,695.3,32.2,48.3,48.9,2.37,Groundnut,2.11,687
80.8,25.9,83.4,1715.5,198.9,57.3,99.0,4.1,Rice,5.54,489
80.5,31.6,78.9,1277.2,153.7,56.4,118.2,5.93,Rice,5.03,267
55.7,19.1,60.4,307.7,132.3,57.1,29.5,2.1,Wheat,4.42,735
53.0,25.9,66.7,1246.5,113.0,28.5,51.9,1.38,Maize,4.58,404
65.6,21.4,65.4,592.7,99.1,37.0,44.5,5.28,Wheat,4.48,525
79.4,26.4,67.5,1691.3,160.5,47.0,115.0,3.52,Rice,5.81,367
33.0,20.5,52.7,328.8,20.9,38.7,33.9,6.25,Chickpea,1.48,663
56.4,28.4,60.9,1093.9,128.9,47.7,76.9,0.72,Cotton,2.34,678
45.0,20.6,46.6,478.4,65.8,41.7,28.4,2.94,Jowar,1.72,708
45.2,26.9,58.6,814.4,27.8,59.5,64.2,3.61,Groundnut,1.98,535
52.4,28.5,59.3,482.6,24.9,74.6,45.7,3.88,Groundnut,1.91,553
92.0,28.1,83.5,1758.3,170.0,52.6,72.7,5.3,Rice,5.28,319
89.2,29.2,79.0,1531.7,215.8,113.7,232.1,0.5,Sugarcane,10.04,179
47.5,26.1,65.5,739.8,46.8,36.8,62.2,4.4,Groundnut,2.15,437
54.4,15.8,74.7,480.3,126.2,38.8,62.3,0.5,Wheat,4.37,468
76.9,25.8,82.6,1218.0,151.6,55.0,82.6,1.21,Rice,4.55,241
68.7,28.2,80.2,1462.6,186.7,54.1,96.3,1.94,Rice,5.68,299
80.1,31.0,83.6,2263.9,207.8,50.3,113.3,2.49,Rice,3.88,124
56.4,11.8,67.8,0.0,157.5,60.6,48.6,4.99,Wheat,2.81,901
39.6,36.0,46.4,271.0,50.5,28.5,41.9,2.77,Jowar,1.35,919
34.6,32.6,48.6,481.8,60.7,21.0,41.8,3.07,Bajra,1.94,744
69.9,28.3,60.1,721.3,143.6,69.0,47.0,1.7,Maize,4.56,551
92.0,36.3,73.3,2299.3,226.0,78.4,172.3,4.56,Sugarcane,7.13,614
36.9,30.3,56.1,455.7,63.2,27.5,45.9,0.5,Bajra,2.19,673
43.1,30.0,64.1,634.1,82.1,34.8,47.7,2.97,Jowar,1.97,526
77.0,30.0,62.9,1959.9,250.0,52.8,208.3,2.73,Sugarcane,10.47,429
60.8,33.1,72.6,763.5,52.5,50.6,30.2,5.44,Soybean,1.98,504
29.9,27.9,45.8,485.7,63.2,27.0,44.3,5.9,Bajra,1.52,912
85.2,32.6,83.3,2018.1,182.1,65.0,182.9,1.97,Sugarcane,10.61,239
63.4,18.6,65.0,730.8,139.5,36.5,44.7,2.96,Wheat,4.02,845
78.7,28.2,77.8,1776.3,200.8,120.0,159.2,4.05,Sugarcane,12.0,163
81.5,27.4,73.9,1728.6,175.5,65.5,112.0,3.6,Rice,5.97,439
54.2,30.3,66.2,1026.1,40.5,56.5,55.3,3.79,Soybean,2.38,318
60.4,25.3,62.6,823.1,110.7,52.8,46.0,4.3,Wheat,3.61,809
53.4,22.9,65.4,1053.3,164.0,32.9,43.5,2.69,Maize,4.39,424
50.3,17.1,47.4,204.4,38.0,41.7,33.4,3.15,Chickpea,1.6,704
72.7,29.2,68.3,1724.8,155.1,42.6,114.4,4.06,Rice,5.93,514
92.0,31.1,73.1,2113.0,171.2,72.2,81.6,6.35,Rice,2.79,489
69.2,26.4,83.0,1105.0,117.6,62.9,97.8,1.77,Rice,4.84,166
60.5,26.0,59.5,413.5,26.2,56.1,47.3,4.07,Soybean,1.93,549
63.5,18.2,60.4,234.7,157.0,53.1,46.9,3.23,Wheat,4.19,402
39.7,28.4,57.4,402.5,55.3,33.7,34.6,3.55,Jowar,2.37,641
40.5,27.9,53.9,622.6,40.9,57.9,93.4,6.45,Groundnut,2.36,603
74.3,24.4,74.4,1486.9,165.6,56.6,90.2,1.85,Rice,4.5,301
42.6,33.5,49.7,640.8,65.6,35.3,36.1,3.28,Bajra,2.16,542
78.0,21.8,78.7,1531.4,160.3,46.8,105.2,1.93,Rice,4.72,260
38.3,25.8,40.2,270.6,51.4,38.0,28.3,8.33,Bajra,1.57,637
70.8,27.7,85.2,1176.4,123.7,57.3,87.5,5.88,Rice,5.13,397
62.1,27.6,69.5,849.7,45.3,63.6,55.2,2.06,Soybean,1.88,705
76.1,26.9,67.7,1357.6,156.5,61.1,72.9,4.52,Rice,6.33,121
52.8,27.8,68.4,939.5,161.8,42.5,52.8,2.88,Maize,5.36,449
69.2,24.8,71.4,934.7,50.7,73.4,71.7,3.75,Soybean,2.28,379
50.9,30.2,68.9,539.3,63.6,43.8,39.1,1.83,Jowar,2.21,590
80.6,28.7,80.0,2244.6,204.2,89.5,172.1,0.92,Sugarcane,11.47,93
67.0,26.2,74.7,1095.5,54.8,56.5,73.1,3.28,Soybean,2.28,377
65.0,26.1,67.0,643.6,153.8,51.0,69.5,2.18,Maize,7.0,354
76.6,29.9,77.5,1327.4,107.1,65.3,85.5,1.57,Rice,5.44,459
63.4,24.0,74.1,977.8,30.2,50.3,43.9,1.51,Soybean,2.38,434
61.6,31.0,58.7,907.9,103.6,38.2,68.6,2.58,Cotton,2.77,522
79.4,27.4,81.7,1974.4,144.6,47.7,59.2,2.78,Rice,5.58,313
63.3,26.8,66.8,868.5,139.2,41.3,43.6,5.03,Maize,6.28,450
47.6,18.4,55.9,288.2,135.7,41.3,39.9,1.41,Wheat,4.14,404
48.7,20.4,68.4,845.9,118.0,36.0,61.8,3.28,Wheat,4.07,571
71.6,33.1,85.4,2029.3,135.1,51.7,95.7,3.13,Rice,4.28,274
51.5,12.0,68.9,283.6,129.5,39.0,39.9,4.69,Wheat,3.62,523
69.3,26.9,62.0,549.3,46.4,38.8,52.3,3.75,Soybean,2.24,719
51.7,29.2,63.6,807.6,34.3,56.6,66.3,2.03,Groundnut,1.9,710
74.5,22.0,86.8,1863.6,169.8,53.1,93.0,1.74,Rice,4.64,67
74.8,28.6,74.0,1063.7,170.5,43.1,64.9,4.07,Maize,4.32,287
60.0,21.3,75.0,639.4,160.8,45.1,44.6,4.03,Wheat,4.39,693
48.5,21.4,62.3,440.0,28.3,54.1,38.2,5.51,Chickpea,1.56,798
75.6,32.5,80.3,1168.8,180.8,49.6,86.3,3.89,Rice,4.19,235
50.5,27.5,54.3,572.8,30.2,59.5,65.0,6.33,Groundnut,2.33,439
57.7,19.1,53.6,181.6,74.2,40.9,50.2,5.73,Wheat,3.99,575
60.2,26.7,58.3,564.6,99.8,65.0,45.3,3.49,Wheat,3.51,516
49.1,19.7,62.8,311.3,128.7,50.2,38.5,2.0,Wheat,4.21,345
46.0,32.4,55.1,1218.9,92.3,32.1,56.9,3.49,Cotton,2.68,540
75.7,27.8,77.9,1340.0,140.7,60.6,84.8,2.73,Rice,6.12,149
77.6,29.4,76.6,1328.8,212.8,47.2,96.7,3.37,Rice,5.15,170
60.6,31.7,52.7,1312.9,104.7,38.4,57.4,4.76,Maize,4.12,684
60.0,18.9,68.6,982.8,111.9,53.8,30.2,4.77,Wheat,3.73,354
49.4,23.1,52.6,423.1,27.5,62.2,28.9,2.36,Chickpea,1.81,642
50.3,28.9,67.1,1095.8,29.7,90.1,49.8,1.01,Soybean,2.29,555
65.6,22.3,56.2,562.4,95.6,57.4,52.0,0.5,Wheat,4.97,735
80.0,32.2,84.4,1638.3,114.5,43.4,95.5,2.56,Rice,5.9,220
77.0,29.7,70.7,2500.0,237.6,78.3,219.0,1.91,Sugarcane,9.64,277
73.9,29.8,79.6,1900.3,180.4,51.0,111.1,0.5,Rice,5.28,148
86.8,31.9,64.8,1945.1,201.0,107.6,191.8,1.93,Sugarcane,8.92,641
36.8,23.8,41.6,262.4,85.8,35.2,75.6,0.5,Cotton,2.21,845
83.1,28.0,78.1,1213.9,130.6,61.8,86.1,2.64,Rice,5.66,189
72.3,29.2,84.8,1211.6,169.9,40.2,66.4,1.97,Rice,6.63,315
63.8,21.1,59.9,738.4,184.6,44.1,59.8,2.24,Maize,4.39,669
87.3,26.2,79.2,1642.0,145.7,46.8,80.0,3.64,Rice,5.71,379
36.2,17.2,59.5,376.9,23.3,42.4,29.2,0.5,Chickpea,1.89,891
39.6,26.9,66.8,776.7,115.3,48.6,63.2,6.89,Cotton,2.57,713
53.7,29.4,69.9,761.7,45.3,63.9,69.7,3.15,Soybean,2.46,394
76.3,32.2,89.1,1574.6,178.3,49.9,71.3,3.39,Rice,5.36,237
54.9,29.1,64.3,711.0,31.7,60.1,68.7,1.76,Soybean,2.33,329
55.2,26.5,69.4,734.7,40.8,63.2,44.8,1.41,Soybean,2.05,524
45.9,22.5,62.2,448.0,124.0,42.6,43.9,1.86,Wheat,3.9,601
26.5,30.4,37.7,284.2,57.1,30.0,40.2,1.73,Bajra,1.56,1023
71.4,28.7,82.7,1450.5,136.4,62.7,96.0,5.59,Rice,5.73,318
41.2,34.4,60.4,1009.2,105.7,35.7,60.4,3.1,Cotton,2.64,196
64.3,29.7,65.0,732.3,28.9,75.2,58.7,0.92,Soybean,2.39,416
36.6,21.3,53.7,326.2,36.0,61.3,34.6,1.63,Chickpea,1.87,673
61.7,29.4,71.9,817.3,40.6,70.1,62.2,6.61,Soybean,2.53,260
37.5,23.8,63.1,660.7,65.2,43.7,39.0,0.75,Jowar,1.95,409
58.8,25.6,58.3,1017.8,157.6,45.5,49.0,4.74,Maize,5.03,479
37.9,28.4,69.2,602.6,31.4,70.3,58.8,5.27,Groundnut,1.98,556
72.7,28.1,69.0,1293.8,161.7,22.6,114.8,1.27,Rice,5.65,392
66.8,25.6,74.9,783.7,123.6,56.5,38.7,4.69,Maize,5.85,298
39.4,23.8,55.9,249.5,33.2,26.5,43.1,2.34,Chickpea,1.43,771
55.5,19.4,53.6,455.1,158.3,43.1,42.4,2.48,Wheat,4.99,558
78.9,27.4,78.6,1703.5,199.5,54.9,91.5,3.48,Rice,5.8,225
34.9,25.5,41.5,311.6,69.2,20.6,33.2,3.96,Bajra,2.02,526
75.5,28.2,62.6,1578.2,236.9,112.3,122.2,3.17,Sugarcane,11.39,309
57.6,28.4,62.9,617.0,133.8,44.8,53.8,1.59,Maize,4.89,652
45.1,22.2,53.6,445.2,170.6,38.9,41.1,2.88,Wheat,4.74,392
33.5,24.3,44.0,368.5,50.1,35.3,28.1,0.93,Jowar,1.85,707
49.1,31.1,63.2,545.5,61.1,42.9,58.2,5.47,Cotton,2.36,669
72.8,26.0,80.4,1751.3,105.1,72.1,109.5,2.67,Rice,4.75,227
71.8,28.3,86.7,2074.1,174.3,53.9,98.1,1.86,Rice,4.94,256
82.4,26.1,77.6,1829.4,210.6,76.8,182.0,2.46,Sugarcane,10.32,122
62.4,24.3,67.9,509.5,55.0,67.3,82.2,4.48,Soybean,2.16,729
71.8,31.4,83.5,821.2,236.2,38.1,79.1,3.59,Rice,5.33,538
40.1,19.7,54.4,356.9,22.9,33.3,33.2,4.38,Chickpea,1.7,684
61.0,30.5,78.0,1210.3,155.7,28.2,44.9,4.38,Maize,4.3,89
42.1,25.2,61.9,48.7,138.3,60.5,45.6,3.07,Wheat,2.91,467
55.1,29.6,73.7,1228.8,127.7,37.1,62.6,1.46,Cotton,2.64,542
59.8,20.2,64.3,476.9,118.3,41.3,41.7,4.48,Wheat,4.79,823
87.3,28.0,75.6,1401.0,169.7,46.9,61.4,0.5,Rice,5.65,402
60.5,19.1,47.8,993.7,112.7,57.8,56.2,3.58,Wheat,4.01,813
67.7,20.1,79.3,344.2,140.6,45.5,68.1,2.62,Maize,3.32,363
59.6,28.7,72.3,585.0,49.4,73.1,67.9,3.9,Soybean,2.05,452
59.8,26.2,60.2,552.3,121.1,38.6,49.4,4.48,Wheat,3.45,580
83.0,31.6,80.0,1706.3,219.5,120.0,230.6,2.74,Sugarcane,11.08,359
62.6,24.4,64.3,381.6,141.0,45.2,34.4,0.96,Wheat,4.39,333
56.1,25.2,49.5,320.7,117.7,31.6,71.5,4.78,Cotton,1.97,832
34.7,28.1,40.2,158.2,59.5,31.3,40.1,3.97,Bajra,1.69,968
71.5,26.0,69.7,1182.7,47.6,42.2,56.3,5.63,Soybean,2.19,248
48.6,12.6,62.4,470.4,111.0,50.7,47.3,2.2,Wheat,4.02,363
51.3,35.5,41.6,1415.8,108.9,52.0,70.6,2.93,Cotton,1.36,669
57.9,18.9,45.5,774.6,125.9,39.9,25.6,1.61,Wheat,4.75,561
70.8,30.7,71.9,1810.6,148.6,59.9,86.0,1.99,Rice,5.79,0
42.2,29.4,32.4,536.1,108.1,39.8,99.3,5.28,Cotton,2.75,898
52.8,26.0,74.7,816.6,123.8,23.2,76.6,4.11,Maize,4.98,458
38.0,30.0,52.0,305.3,62.9,38.4,54.3,3.58,Jowar,1.97,597
57.8,15.9,57.8,633.4,125.3,40.1,42.4,4.52,Wheat,3.29,916
58.3,23.3,69.5,792.0,135.1,60.9,36.7,0.89,Wheat,4.33,498
50.4,34.0,55.8,350.2,70.8,23.6,32.3,5.86,Jowar,2.05,521
78.9,27.0,78.3,1008.9,198.5,58.8,88.4,3.95,Rice,5.94,399
59.0,23.9,73.2,675.2,136.3,76.6,54.7,3.24,Wheat,4.34,302
67.4,23.8,72.4,1876.3,159.5,59.6,186.8,2.83,Sugarcane,8.12,207
73.9,27.7,69.0,1752.2,210.1,100.1,200.6,1.89,Sugarcane,9.38,423
61.6,24.3,68.5,1067.1,147.5,39.5,48.2,4.3,Maize,4.64,364
54.5,28.2,57.5,913.2,168.3,47.8,69.5,5.05,Maize,5.93,485
69.3,24.8,77.7,1980.3,174.5,46.7,99.6,3.33,Rice,4.91,538
41.7,30.1,58.5,396.6,101.2,49.5,72.6,5.13,Cotton,2.91,745
57.6,23.9,64.8,466.6,148.0,43.0,59.7,2.95,Maize,4.45,680
43.5,28.0,58.7,1025.1,95.7,39.7,74.5,3.65,Cotton,2.55,614
70.0,30.7,89.1,1047.1,118.2,65.8,94.3,3.73,Rice,5.08,379
63.0,13.8,59.1,669.2,158.0,53.7,52.7,6.03,Wheat,3.39,800
91.0,29.7,73.5,1810.5,234.8,57.5,215.2,1.84,Sugarcane,9.62,322
57.7,27.3,54.3,588.4,47.5,47.0,42.8,3.65,Soybean,2.0,908
69.9,24.6,73.8,1394.2,166.4,64.3,100.9,2.89,Rice,5.35,223
45.0,28.1,63.5,454.3,36.8,61.4,55.7,2.07,Groundnut,1.98,527
50.3,26.0,76.5,830.5,36.0,50.5,65.1,1.89,Groundnut,2.11,205
75.1,27.1,82.8,1880.3,177.0,51.2,89.8,3.48,Rice,4.95,205
50.6,20.3,37.0,416.8,20.2,30.8,42.2,2.59,Chickpea,1.35,838
40.1,18.6,43.5,376.4,27.4,66.3,27.5,2.97,Chickpea,1.92,946
76.9,26.2,85.1,1079.0,195.0,64.0,137.6,5.15,Rice,5.86,224
32.1,30.9,41.3,297.0,59.5,24.4,23.9,5.45,Bajra,1.99,744
50.3,17.7,60.3,500.9,22.0,65.7,42.8,1.08,Chickpea,1.64,530
42.3,22.4,65.1,701.5,73.6,42.8,46.5,4.34,Jowar,1.76,408
81.3,26.1,90.9,1305.3,165.1,52.7,63.9,2.36,Rice,6.72,81
74.6,26.9,89.6,2103.3,158.4,43.8,77.3,2.0,Rice,5.0,211
41.2,24.3,54.2,566.8,56.7,28.6,44.0,6.0,Bajra,1.45,355
53.1,20.1,49.1,461.1,137.6,44.4,58.6,4.51,Maize,4.39,690
64.9,13.5,73.9,606.7,89.3,54.8,56.5,3.85,Wheat,3.63,469
84.0,32.2,93.4,1794.7,225.0,75.6,176.4,6.55,Sugarcane,9.87,106
44.2,23.5,49.1,458.8,24.6,41.2,35.3,1.12,Chickpea,1.66,517
58.8,24.2,67.8,1397.1,55.5,53.5,42.3,5.8,Soybean,1.36,200
48.9,18.3,70.5,404.8,29.8,50.0,45.0,2.48,Chickpea,1.58,809
59.3,23.0,59.1,328.8,122.9,42.8,42.3,4.33,Wheat,4.62,408
45.2,30.5,71.4,625.7,115.3,27.8,72.4,3.97,Cotton,3.33,725
37.7,36.8,64.6,792.8,106.2,40.3,61.1,2.71,Cotton,2.25,608
88.6,28.1,85.2,1138.9,149.7,56.3,86.9,3.36,Rice,5.77,263
35.1,35.9,35.9,35.5,68.8,20.0,25.1,5.97,Bajra,1.62,620
63.8,27.7,83.5,1514.4,123.9,48.7,45.9,2.38,Maize,4.7,452
69.4,27.1,82.4,1236.2,200.6,40.5,68.3,2.57,Rice,5.11,596
37.6,35.0,60.0,263.4,55.1,34.0,50.6,5.28,Jowar,1.68,472
43.0,21.8,62.2,548.1,23.9,50.1,37.7,5.06,Chickpea,1.86,519
85.3,23.3,81.5,1800.0,175.0,46.1,104.1,3.76,Rice,4.61,437
48.7,29.8,55.7,428.7,135.0,50.4,95.3,2.69,Cotton,3.17,681
53.1,32.5,48.1,1465.1,92.5,50.8,71.0,3.04,Cotton,2.18,868
63.0,26.0,67.8,922.9,42.2,41.7,42.2,1.9,Soybean,2.4,385
52.1,34.3,43.7,404.6,108.6,38.4,66.4,3.25,Cotton,2.18,800
55.0,29.9,94.3,642.8,41.1,72.4,48.9,5.31,Soybean,1.99,119
66.2,26.7,78.4,492.9,195.4,49.2,71.4,3.25,Rice,4.02,771
48.2,19.2,41.9,540.8,125.9,53.8,53.1,3.1,Wheat,4.92,600
36.3,30.6,73.9,1059.2,136.6,47.0,68.5,2.54,Cotton,2.34,67
50.9,15.5,70.0,618.3,109.7,42.4,57.5,1.75,Wheat,4.84,476
36.2,24.7,69.2,709.2,48.5,24.7,34.0,5.29,Bajra,1.7,468
46.0,26.8,72.3,1249.3,40.1,80.0,51.0,0.95,Soybean,2.06,695
59.8,17.9,56.4,496.0,133.0,73.7,49.1,2.64,Wheat,4.23,563
45.0,26.1,47.7,764.3,54.9,31.3,46.7,4.73,Jowar,1.62,646
42.7,31.3,65.1,591.3,39.7,36.2,64.8,5.12,Groundnut,2.42,629
66.5,23.7,56.9,441.9,152.7,56.6,51.2,3.08,Maize,4.65,865
52.8,23.7,60.3,964.8,45.8,54.1,64.3,2.54,Groundnut,1.87,517
66.3,19.0,61.7,691.1,176.1,76.1,38.6,2.26,Wheat,4.12,712
69.8,31.9,62.9,725.9,161.5,55.4,52.0,0.5,Maize,4.5,617
70.9,22.1,54.1,635.9,172.0,53.3,41.5,1.82,Wheat,3.99,570
31.0,21.0,50.7,98.4,61.8,25.5,48.3,3.49,Bajra,1.36,715
66.7,24.0,90.6,1681.2,171.3,31.9,84.6,2.66,Rice,4.85,237
61.7,22.6,61.0,814.4,126.7,59.8,54.9,2.6,Wheat,4.86,399
59.2,24.0,51.6,333.8,160.9,48.4,48.9,1.3,Wheat,4.38,858
73.3,27.6,67.2,1701.9,175.1,55.9,97.7,2.28,Rice,5.93,167
51.9,20.5,54.6,237.1,160.3,57.9,47.6,3.36,Wheat,3.76,842
82.3,25.9,78.5,1452.6,183.6,56.3,110.4,2.33,Rice,5.92,478
72.6,20.1,54.3,577.5,124.9,47.5,20.4,4.71,Wheat,4.3,607
48.3,21.3,39.7,120.2,28.9,54.1,40.2,4.58,Chickpea,1.73,651
39.5,35.2,40.5,347.8,52.8,29.7,40.8,4.71,Bajra,1.61,708
61.8,26.5,60.0,894.0,47.3,54.6,49.4,0.5,Soybean,2.45,612
52.5,29.0,60.9,619.6,35.2,55.1,60.6,0.86,Groundnut,1.91,681
43.7,29.0,50.4,602.0,52.9,21.9,31.6,4.04,Bajra,1.6,692
55.4,16.4,63.2,1021.9,141.6,45.2,57.6,4.83,Wheat,3.68,651
77.7,31.4,77.1,1431.9,185.7,64.6,70.8,1.4,Rice,4.28,256
78.8,33.5,80.8,1903.2,144.2,44.3,98.3,0.5,Rice,4.33,304
54.8,25.8,52.2,633.9,34.0,54.1,27.9,5.99,Groundnut,1.93,387
60.9,18.0,69.7,417.3,132.1,58.9,57.0,2.8,Wheat,4.91,642
44.4,22.9,49.9,648.0,42.8,38.2,59.8,1.09,Groundnut,1.81,669
61.3,14.4,46.7,708.6,157.8,56.2,51.9,7.12,Wheat,3.91,597
54.0,15.7,53.7,425.4,132.9,42.6,34.7,0.5,Wheat,3.85,824
48.3,18.7,63.4,624.1,99.2,41.5,51.3,4.94,Wheat,4.65,653
78.7,29.6,88.1,2256.6,179.6,59.9,74.1,3.66,Rice,4.89,0
78.6,30.5,80.9,1564.1,248.4,86.3,163.8,3.76,Sugarcane,10.1,308
91.2,23.5,79.4,1226.5,202.2,49.2,84.6,3.41,Rice,3.51,124
61.7,22.0,68.0,509.1,134.5,60.0,72.2,3.44,Maize,5.1,690
